['Round 298', 'door1', 'stay', 'lose']
['Round 299', 'door2', 'stay', 'lose']
['Round 300', 'door2', 'stay', 'lose']
['Round 301', 'door3', 'stay', 'lose']
['Round 302', 'door2', 'stay', 'lose']
['Round 303', 'door1', 'stay', 'lose']
['Round 304', 'door1', 'stay', 'lose']
['Round 305', 'door2', 'stay', 'win']
['Round 306', 'door3', 'stay', 'lose']
['Round 307', 'door3', 'stay', 'win']
['Round 308', 'door3', 'stay', 'win']
['Round 309', 'door2', 'stay', 'win']
['Round 310', 'door3', 'stay', 'lose']
['Round 311', 'door2', 'stay', 'lose']
['Round 312', 'door3', 'stay', 'lose']
['Round 313', 'door3', 'stay', 'lose']
['Round 314', 'door2', 'stay', 'lose']
['Round 315', 'door2', 'stay', 'lose']
['Round 316', 'door3', 'stay', 'lose']
['Round 317', 'door3', 'stay', 'win']
['Round 318', 'door3', 'stay', 'lose']
['Round 319', 'door3', 'stay', 'win']
['Round 320', 'door2', 'stay', 'lose']
['Round 321', 'door1', 'stay', 'lose']
['Round 322', 'door3', 'stay', 'win']
['Round 323', 'door1', 'stay', 'lose']
['Round 324', 'door2', 'stay', 'lose']
['Round 325', 'door3', 'stay', 'win']
['Round 326', 'door2', 'stay', 'lose']
['Round 327', 'door1', 'stay', 'win']
['Round 328', 'door2', 'stay', 'win']
['Round 329', 'door1', 'stay', 'win']
['Round 330', 'door2', 'stay', 'lose']
['Round 331', 'door2', 'stay', 'lose']
['Round 332', 'door3', 'stay', 'lose']
['Round 333', 'door3', 'stay', 'lose']
['Round 334', 'door1', 'stay', 'lose']
['Round 335', 'door3', 'stay', 'lose']
['Round 336', 'door2', 'stay', 'lose']
['Round 337', 'door3', 'stay', 'lose']
['Round 338', 'door1', 'stay', 'win']
['Round 339', 'door3', 'stay', 'lose']
['Round 340', 'door1', 'stay', 'win']
['Round 341', 'door3', 'stay', 'win']
['Round 342', 'door2', 'stay', 'lose']
['Round 343', 'door2', 'stay', 'win']
['Round 344', 'door2', 'stay', 'lose']
['Round 345', 'door3', 'stay', 'win']
['Round 346', 'door3', 'stay', 'lose']
['Round 347', 'door2', 'stay', 'lose']
['Round 348', 'door3', 'stay', 'lose']
['Round 349', 'door3', 'stay', 'lose']
['Round 350', 'door3', 'stay', 'lose']
['Round 351', 'door3', 'stay', 'lose']
['Round 352', 'door1', 'stay', 'lose']
['Round 353', 'door3', 'stay', 'lose']
['Round 354', 'door1', 'stay', 'win']
['Round 355', 'door1', 'stay', 'lose']
['Round 356', 'door1', 'stay', 'win']
['Round 357', 'door2', 'stay', 'win']
['Round 358', 'door1', 'stay', 'lose']
['Round 359', 'door2', 'stay', 'lose']
['Round 360', 'door2', 'stay', 'lose']
['Round 361', 'door3', 'stay', 'win']
['Round 362', 'door1', 'stay', 'lose']
['Round 363', 'door2', 'stay', 'win']
['Round 364', 'door2', 'stay', 'lose']
['Round 365', 'door2', 'stay', 'lose']
['Round 366', 'door2', 'stay', 'lose']
['Round 367', 'door2', 'stay', 'win']
['Round 368', 'door3', 'stay', 'lose']
['Round 369', 'door1', 'stay', 'lose']
['Round 370', 'door1', 'stay', 'lose']
['Round 371', 'door3', 'stay', 'lose']
['Round 372', 'door3', 'stay', 'lose']
['Round 373', 'door1', 'stay', 'win']
['Round 374', 'door2', 'stay', 'lose']
['Round 375', 'door3', 'stay', 'lose']
['Round 376', 'door1', 'stay', 'lose']
['Round 377', 'door2', 'stay', 'lose']
['Round 378', 'door1', 'stay', 'lose']
['Round 379', 'door2', 'stay', 'lose']
['Round 380', 'door1', 'stay', 'lose']
